Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,CompressiveStrength,WaterCementRatio,TotalBinder,WaterBinderRatio,TotalAggregate,FineAggregateRatio,CoarseAggregateRatio,CementRatio,SCM,SCMPercentage,LogAge
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,0.3,540.0,0.3,1716.0,0.3939393939393939,0.6060606060606061,1.0,0.0,0.0,3.367295829986474
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.3,540.0,0.3,1731.0,0.39052570768342,0.60947429231658,1.0,0.0,0.0,3.367295829986474
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857142857142857,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,0.7,142.5,0.3,5.602118820879701
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.6857142857142857,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,0.7,142.5,0.3,5.902633333401366
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.9667673716012085,331.0,0.5800604229607251,1803.9,0.4576196019735018,0.5423803980264981,0.6,132.4,0.4,5.8888779583328805
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,0.8571428571428571,380.0,0.6,1602.0,0.418227215980025,0.581772784019975,0.7,114.0,0.3,4.51085950651685
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,0.6,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,0.8,95.0,0.2,5.902633333401366
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,0.6,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,0.8,95.0,0.2,3.367295829986474
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.8571428571428571,380.0,0.6,1602.0,0.418227215980025,0.581772784019975,0.7,114.0,0.3,3.367295829986474
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,1.0,0.0,0.0,3.367295829986474
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,0.9667673716012085,331.0,0.5800604229607251,1803.9,0.4576196019735018,0.5423803980264981,0.6,132.4,0.4,4.51085950651685
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,0.9667673716012085,331.0,0.5800604229607251,1803.9,0.4576196019735018,0.5423803980264981,0.6,132.4,0.4,3.367295829986474
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,0.5333333333333333,475.0,0.48,1526.0,0.3892529488859764,0.6107470511140236,0.9,47.5,0.1,5.602118820879701
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,1.2,380.0,0.6,1602.0,0.418227215980025,0.581772784019975,0.5,190.0,0.5,4.51085950651685
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,0.75,380.0,0.6,1602.0,0.418227215980025,0.581772784019975,0.8,76.0,0.2,3.367295829986474
